STOCK CODE,SUBCATEGORY NAME,SHORT DESCRIPTION,IMAGE,MANUFACTURER,MANUFACTURER SKU,DBP,RRP
NWG-WGVLG673,Firewalls  Network Security,Trade up to WatchGuard FireboxV Large with 3-yr Total Security Suite,https://www.leadersystems.com.au/Images/NWG-WGVLG673.jpg,Watchguard,WGVLG673,24255,33448
NWG-WGVXL031,Firewalls  Network Security,WatchGuard FireboxV XLarge with 1-yr Basic Security Suite,https://www.leadersystems.com.au/Images/NWG-WGVXL031.jpg,Watchguard,WGVXL031,18740,25843
NWG-WGVXL003,Firewalls  Network Security,WatchGuard FireboxV XLarge with 3-yr Standard Support - Only available to WGOne Silver/Gold Partners,https://www.leadersystems.com.au/Images/NWG-WGVXL003.jpg,Watchguard,WGVXL003,17572,24232
NWG-WGM69040703,Subscriptions  Licensing,WatchGuard Gold Support Renewal/Upgrade 3-yr for Firebox M690,https://www.leadersystems.com.au/Images/NWG-WGM69040703.jpg,Watchguard,WGM69040703,7655,9536
NWG-WGT16131,Subscriptions  Licensing,WatchGuard Intrusion Prevention Service 1-yr for Firebox T15-W,https://www.leadersystems.com.au/Images/NWG-WGT16131.jpg,Watchguard,WGT16131,174,217
NWG-WGM27101,Cloud  Server Security,WatchGuard WebBlocker 1-yr for Firebox M270,https://www.leadersystems.com.au/Images/NWG-WGM27101.jpg,Watchguard,WGM27101,628,783
NWG-WGM69021803,Subscriptions  Licensing,WatchGuard Cloud 1-month data retention for M690 - 3-yr,https://www.leadersystems.com.au/Images/NWG-WGM69021803.jpg,Watchguard,WGM69021803,7835,9761
NWG-WGM69040701,Subscriptions  Licensing,WatchGuard Gold Support Renewal/Upgrade 1-yr for Firebox M690,https://www.leadersystems.com.au/Images/NWG-WGM69040701.jpg,Watchguard,WGM69040701,3289,4098
NWG-WGM39021803,Subscriptions  Licensing,WatchGuard Cloud 1-month data retention for M390 - 3-yr,https://www.leadersystems.com.au/Images/NWG-WGM39021803.jpg,Watchguard,WGM39021803,2239,2789
NWG-WGMDR30403,Managed Detection  Response (MDR),WatchGuard Core MDR - 3 Year - 251 to 500 licenses,https://www.leadersystems.com.au/Images/NWG-WGMDR30403.jpg,Watchguard,WGMDR30403,143,170
NWG-WGMDR30501,Managed Detection  Response (MDR),WatchGuard Core MDR - 1 Year - 501 to 1000 licenses,https://www.leadersystems.com.au/Images/NWG-WGMDR30501.jpg,Watchguard,WGMDR30501,53,63
NWG-WGM59021803,Subscriptions  Licensing,WatchGuard Cloud 1-month data retention for M590 - 3-yr,https://www.leadersystems.com.au/Images/NWG-WGM59021803.jpg,Watchguard,WGM59021803,5652,7042
NWG-WGM59040103,Subscriptions  Licensing,WatchGuard Standard Support Renewal 3-yr for Firebox M590,https://www.leadersystems.com.au/Images/NWG-WGM59040103.jpg,Watchguard,WGM59040103,3955,4927
