SKU,Name,Method of Delivery,Product Family,Product Group,url in dealershop
NWG-WGVMC203,WatchGuard Standard Support Renewal 3-yr for FireboxV Micro,Electronic,Virtual,FireboxV Micro,https://partner.leadersystems.com.au/products.html?uVI1F61dbm0=UlWJ/ZHaVYCHDIQbxkEYZw==SOvP8p+SypUNGarpm5T+yQgLJXQ=
NWG-WGFCI30301,WatchGuard FireCloud Internet Access - 1 Year - 101 to 250 licenses,Electronic,FireCloud,FireCloud Internet Access,https://partner.leadersystems.com.au/products.html?B5cqo03HrVw=GUy9d6gjsGYcsrbZG706CA==2hruYHcTHp+MDm8FJAb/ko6po18UMQ==
NWG-WGFCI30501,WatchGuard FireCloud Internet Access - 1 Year - 501 to 1000 licenses,Electronic,FireCloud,FireCloud Internet Access,https://partner.leadersystems.com.au/products.html?YBOZ5M1Q8Ts=s2FBzcOY0/FpxbNo19z84g==N9fB7eE/kj0Zp8uzX7ILyOFGWUbxbA==
NWG-WGT250075,WatchGuard Basic Security Suite for Firebox T25 - 5-Year (License ONLY; HW SKU: WGT25000),Electronic,T-Series,T25,https://partner.leadersystems.com.au/products.html?hmHl4Ip1/2M=MeLiMWDCQNBX6tF5ywGydg==jEQyK97rxFfSKuXQ2FkTsnj3K/rM
NWG-WGM6901603,WatchGuard High Availability for M690 - 3-Year (License ONLY; HW SKU: WGM690000),Electronic,M-Series,M690,https://partner.leadersystems.com.au/products.html?Vm0uZE5Zg0k=Yvhwr30PVE3FZiHo4j2a+w==Q7ZGmIsRDsOhNd4/f/Hn8LaND7+JRg==
NWG-WGM6900211,Trade Up to WatchGuard Total Security Suite for Firebox M690 - 1-Year (License ONLY; HW SKU: WGM690000),Electronic,M-Series,M690,https://partner.leadersystems.com.au/products.html?W9IMIOdYs4g=uJTim8TxD6JKB+nUSWwi6w==VRw+EEyW9qxZ+2ARdA3rxZ4eKg+M7g==
NWG-WGA23022001,USP Wi-Fi Management for WatchGuard AP230W - 1-year (License ONLY; HW SKU: WGA230000),Electronic,Access Points,AP230W,https://partner.leadersystems.com.au/products.html?WyNZhMtABRI=hCDANieOdTFnKi1/dejC6A==dndihxsf/yjDDknsq10QFeyGTrv1Lfs=
NWG-WGM5900083,WatchGuard Total Security Suite for Firebox M590 - 3-Year (License ONLY; HW SKU: WGM590000),Electronic,M-Series,M590,https://partner.leadersystems.com.au/products.html?0HSB1t2VJ+Q=totCQ8Nvf54NQqDs5yfM7A==GhZyHFT/jf3nyy0lzUrQkVYTOuX2rQ==
NWG-WGM3901601,WatchGuard High Availability for M390 - 1-Year (License ONLY; HW SKU: WGM390000),Electronic,M-Series,M390,https://partner.leadersystems.com.au/products.html?enV+fBCHR78=ZTi6lNi4H+pET56GTjUBHQ==Ov5FXOafK8Ii2FsbVKtI/0yw/McWDQ==
NWG-WGM48000,WatchGuard Firebox M4800 Appliance Only – License Not Included (Requires Separate WG License Purchase),Physical,M-Series,M4800,https://partner.leadersystems.com.au/products.html?+LPhE/7lBHk=Oisy267kWTn6ldKuVaBfkg==o3nJNmxzWQROQZSDNwo2WYBJhQM=
NWG-WGM58000,WatchGuard Firebox M5800 Appliance Only – License Not Included (Requires Separate WG License Purchase),Physical,M-Series,M5800,https://partner.leadersystems.com.au/products.html?UMjpuDSZ/Tw=qSKPXPbq/AqEt9dK2aS4Wg==n9FDdzjunpIVsVAZ30mYMUhMixQ=
NWG-WGT490085,WatchGuard Total Security Suite for Firebox T45-CW - 5-Year (License ONLY; HW SKU: WGT49000-AU),Electronic,T-Series,T45-CW,https://partner.leadersystems.com.au/products.html?6O0Qll6f1ZU=3iL39rBJFDvDorl0c3GGyQ==RljU7tiz09hxVWQPyjCe1VreaJ4G
NWG-WGA13022101,Standard Wi-Fi Management for WatchGuard AP130 - 1-year (License ONLY; HW SKU: WGA130000),Electronic,Access Points,AP130,https://partner.leadersystems.com.au/products.html?/AZAT6ENKBA=n3/ZboT8Ka4QriAIAAVc4A==o5WjyhrJn9qXQrz+NVFcpsGGAB8dUzQ=
NWG-WGA13022103,Standard Wi-Fi Management for WatchGuard AP130 - 3-year (License ONLY; HW SKU: WGA130000),Electronic,Access Points,AP130,https://partner.leadersystems.com.au/products.html?YhZtziFhgV4=Cb44N5l5lwdjNgLBM1+w7A==9TM1S+H5PPuHnRjVB1Njt9lJ9n+/4SU=
NWG-WGT480085,WatchGuard Total Security Suite for Firebox T45-W-PoE - 5-Year (License ONLY; HW SKU: WGT48000-AU),Electronic,T-Series,T45-W-PoE,https://partner.leadersystems.com.au/products.html?jcRlgyeSl3U=F0k7zoryA4MyAAiw9EEsrw==lD8SzOXE+9eE3T9caBo8SDWC/33x
NWG-WGM2900073,WatchGuard Basic Security Suite for Firebox M290 - 3-Year (License ONLY; HW SKU: WGM290000),Electronic,M-Series,M290,https://partner.leadersystems.com.au/products.html?Rx/ObST5Ktc=3d7uLLg37ofZ9GKODVT7ow==DalwcILo6DWaeZpvuYixUGBgEEMDCg==
